PREFERRED_NAME,INCHIKEY,SMILES
"3,3,4,4,5,5,6,6,6-Nonafluorohexyl nitrate",JTINRXZCXXXKMA-UHFFFAOYSA-N,C(CON(=O)=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F
"3-[2,2,3,3,4,4-Hexafluoro-4-(heptafluoropropoxy)butanamido]-N,N-dimethylpropan-1-amine N-oxide",FNPQQUYBBRHUFI-UHFFFAOYSA-N,CN(=O)(C)CCCN=C(C(C(C(F)(F)OC(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O
"3-[(Perfluorobutane-1-sulfonyl)amino]-N,N-dimethylpropan-1-amine N-oxide",HQIKMYJOLJOSOX-UHFFFAOYSA-N,CN(=O)(C)CCCNS(=O)(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F
"1-Propanaminium, 3-[[4-[(heptadecafluorononyl)oxy]benzoyl]amino]-N,N,N-trimethyl- (9CI)",LENDGRWTJNFJQE-UHFFFAOYSA-O,C[N+](C)(C)CCCN=C(c1ccc(cc1)OC(C(C(C(C(C(C(CC(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O
Perfluorononane sulfonamido ammonium iodide,IEIYQVSGMNXXNU-UHFFFAOYSA-N,C[N+](C)(C)CCCNS(=O)C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
"N-(2-Carboxyethyl)-3-[(perfluoro-1-oxononyl)amino]-N,N-dimethyl-1-propanaminium",ZGBMFNJIPSRTBS-UHFFFAOYSA-O,C[N+](C)(CCCN=C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)CCC(=O)O
"1,1,1,3,3,4,4,4-Octafluoro-2-(trifluoromethyl)butan-2-yl 2-methylprop-2-enoate",ZYEKBRZVGPYUIW-UHFFFAOYSA-N,C=C(C)C(=O)OC(C(C(F)(F)F)(F)F)(C(F)(F)F)C(F)(F)F
"1,1,1,3,3,3-Hexafluoro-2-(trifluoromethyl)propan-2-yl 2-methylprop-2-enoate",JXVINEGBEPHVPO-UHFFFAOYSA-N,C=C(C)C(=O)OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F
"1,1,1,2,3,3,3-Heptafluoropropan-2-yl 2-methylprop-2-enoate",DAUQEQSACMZHDS-UHFFFAOYSA-N,C=C(C)C(=O)OC(C(F)(F)F)(C(F)(F)F)F
Pentadecafluoroheptyl 2-methylprop-2-enoate,HEFHMJVNMXDZKE-UHFFFAOYSA-N,C=C(C)C(=O)OC(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
